timestep,source_node,destination_node,bandwidth_capacity,bandwidth_utilization,delay,packet_loss,jitter,throughput,queue_length,packet_rate
0,0,1,953.4,0.5573,2.17,0.0,1.15,531.35,0.0,44279.54
0,0,2,1029.61,0.4276,2.04,0.0,0.77,440.25,0.0,36687.53
0,0,3,934.23,0.4804,2.09,0.0,0.92,448.79,0.0,37398.93
0,0,5,932.68,0.4694,1.95,0.0,0.89,437.84,0.0,36486.45
0,0,7,1097.9,0.5778,2.06,0.0,1.21,634.39,0.0,52865.46
0,0,9,1011.39,0.5652,2.07,0.0,1.17,571.63,0.0,47636.15
0,0,10,1068.57,0.6107,2.11,0.0,1.32,652.57,0.0,54380.93
0,0,11,945.81,0.4407,1.81,0.0,0.81,416.79,0.0,34732.18
0,0,13,963.09,0.5114,1.91,0.0,1.01,492.52,0.0,41043.59
0,0,14,942.2,0.4286,2.18,0.0,0.78,403.83,0.0,33652.25
0,1,0,1075.27,0.4685,1.93,0.0,0.88,503.74,0.0,41978.06
0,1,3,1031.09,0.529,1.96,0.0,1.06,545.46,0.0,45455.27
0,1,4,1082.91,0.4279,1.98,0.0,0.77,463.39,0.0,38615.8
0,1,6,952.98,0.4643,1.9,0.0,0.87,442.46,0.0,36871.88
0,1,7,1012.27,0.5595,1.91,0.0,1.15,566.4,0.0,47199.96
0,1,8,1016.92,0.5374,2.16,0.0,1.08,546.47,0.0,45538.94
0,2,0,979.88,0.4689,1.89,0.0,0.89,459.42,0.0,38285.16
0,2,4,1099.51,0.5467,2.0,0.0,1.11,601.14,0.0,50094.97
0,3,0,918.18,0.5932,1.82,0.0,1.26,544.69,0.0,45390.45
0,3,1,921.93,0.4237,2.05,0.0,0.76,390.6,0.0,32550.32
0,3,8,1058.42,0.5925,1.97,0.0,1.26,627.07,0.0,52255.99
0,4,1,912.71,0.5697,1.95,0.0,1.18,519.99,0.0,43332.68
0,4,2,1099.22,0.4942,2.01,0.0,0.96,543.18,0.0,45265.29
0,4,5,1094.22,0.4551,2.14,0.0,0.85,498.02,0.0,41501.8
0,4,6,902.3,0.6244,2.09,0.0,1.36,563.42,0.0,46951.77
0,4,12,1036.34,0.4934,2.01,0.0,0.95,511.31,0.0,42609.26
0,4,13,953.37,0.4419,2.06,0.0,0.81,421.29,0.0,35107.21
0,5,0,922.31,0.4427,1.97,0.0,0.81,408.33,0.0,34027.89
0,5,4,990.74,0.6013,2.18,0.0,1.29,595.69,0.0,49641.05
0,5,11,1075.17,0.5498,1.91,0.0,1.12,591.12,0.0,49259.59
0,5,12,1000.12,0.5927,1.87,0.0,1.26,592.81,0.0,49400.66
0,6,1,1082.53,0.5764,2.15,0.0,1.21,623.96,0.0,51997.0
0,6,4,959.69,0.5355,2.06,0.0,1.08,513.95,0.0,42828.97
0,6,9,1021.79,0.6278,1.86,0.0,1.37,641.47,0.0,53455.43
0,7,0,1052.5,0.5022,2.02,0.0,0.98,528.6,0.0,44050.4
0,7,1,1055.73,0.5389,2.01,0.0,1.09,568.91,0.0,47408.78
0,8,1,900.11,0.5974,1.93,0.0,1.27,537.76,0.0,44813.52
0,8,3,903.9,0.5529,2.17,0.0,1.13,499.78,0.0,41648.04
0,8,10,1075.74,0.6043,2.13,0.0,1.3,650.03,0.0,54169.0
0,8,14,961.5,0.5442,1.82,0.0,1.11,523.27,0.0,43605.51
0,9,0,1075.6,0.5711,2.18,0.0,1.19,614.26,0.0,51187.94
0,9,6,917.13,0.432,1.99,0.0,0.79,396.19,0.0,33015.48
0,10,0,913.84,0.4704,2.1,0.0,0.89,429.9,0.0,35824.81
0,10,8,1053.17,0.4834,1.85,0.0,0.93,509.12,0.0,42426.41
0,11,0,995.06,0.4392,2.02,0.0,0.8,436.99,0.0,36415.61
0,11,5,953.01,0.4715,2.15,0.0,0.89,449.31,0.0,37442.42
