timestep,node,incoming_traffic,outgoing_traffic,queue_size,flow_count,traffic_volume,node_load
0,0,4943.48,5029.96,0.0,10,9973.44,0
0,1,3172.57,3067.92,0.0,6,6240.49,0
0,2,983.43,1060.56,0.0,2,2043.99,0
0,3,1494.03,1562.36,0.0,3,3056.39,0
0,4,3159.78,3057.21,0.0,6,6216.99,0
0,5,1869.95,2187.95,0.0,4,4057.9,0
0,6,1402.07,1779.38,0.0,3,3181.45,0
0,7,1200.79,1097.51,0.0,2,2298.3,0
0,8,2113.84,2210.84,0.0,4,4324.68,0
0,9,1213.1,1010.45,0.0,2,2223.55,0
0,10,1302.6,939.02,0.0,2,2241.62,0
0,11,1007.91,886.3,0.0,2,1894.21,0
0,12,1104.12,921.6,0.0,2,2025.72,0
0,13,913.81,1072.06,0.0,2,1985.87,0
0,14,927.1,925.46,0.0,2,1852.56,0
1,0,4387.32,4179.38,0.0,10,8566.7,0
1,1,2205.36,2661.1,0.0,6,4866.46,0
1,2,772.73,942.0,0.0,2,1714.73,0
1,3,1244.51,1295.92,0.0,3,2540.43,0
1,4,2598.81,2327.79,0.0,6,4926.6,0
1,5,1555.66,1713.94,0.0,4,3269.6,0
1,6,1190.69,1126.42,0.0,3,2317.11,0
1,7,834.9,911.19,0.0,2,1746.09,0
1,8,1756.96,1507.76,0.0,4,3264.72,0
1,9,942.96,781.06,0.0,2,1724.02,0
1,10,974.26,789.61,0.0,2,1763.87,0
1,11,895.43,830.69,0.0,2,1726.12,0
1,12,823.97,829.6,0.0,2,1653.57,0
1,13,734.61,863.08,0.0,2,1597.69,0
1,14,721.37,880.0,0.0,2,1601.37,0
2,0,4514.16,4766.64,0.0,10,9280.8,0
2,1,2929.44,2969.78,0.0,6,5899.22,0
2,2,1137.9,974.39,0.0,2,2112.29,0
2,3,1273.43,1348.76,0.0,3,2622.19,0
2,4,2889.03,3097.41,0.0,6,5986.44,0
2,5,2053.17,1739.04,0.0,4,3792.21,0
2,6,1438.82,1371.99,0.0,3,2810.81,0
2,7,902.25,943.49,0.0,2,1845.74,0
2,8,1720.37,1729.41,0.0,4,3449.78,0
2,9,1059.16,1116.37,0.0,2,2175.53,0
2,10,979.42,859.84,0.0,2,1839.26,0
2,11,996.01,973.52,0.0,2,1969.53,0
2,12,846.0,1041.79,0.0,2,1887.79,0
2,13,984.51,863.82,0.0,2,1848.33,0
2,14,855.95,783.37,0.0,2,1639.32,0
3,0,4629.4,4513.64,0.0,10,9143.04,0
3,1,2755.2,3034.76,0.0,6,5789.96,0
3,2,1007.93,1003.28,0.0,2,2011.21,0
3,3,1222.32,1361.21,0.0,3,2583.53,0
3,4,2889.14,2853.69,0.0,6,5742.83,0
3,5,1777.15,1710.73,0.0,4,3487.88,0
3,6,1261.39,1426.36,0.0,3,2687.75,0
3,7,1019.63,1051.2,0.0,2,2070.83,0
3,8,1735.3,1845.45,0.0,4,3580.75,0
